,year,cluster_reviewed,5/15,5/16,5/17,5/18,5/19,5/20,5/21,5/22,5/23,5/24,5/25,5/26,reviewer,notes
61,2023,RK1026_1,,,1,,,1,,,1,1,,,SL,
61,2024,RK1026_1,,1,1,1,1,1,,,,,,,SL,
62,2021,RK1029_0,1,1,1,1,1,1,1,1,1,,1,1,SL,
62,2022,RK1029_0,,,1,,,,,1,,,,,SL,
62,2023,RK1029_0,,,,,,,,,,,,,SL,
62,2024,RK1029_0,,,,,,,,,,,,,SL,
63,2021,RK1029_1,,,,,,,,,,,,,SL,
63,2022,RK1029_1,,,,,,,,,,,,,SL,
63,2023,RK1029_1,,1,,,,,,,1,,,1,SL,
63,2024,RK1029_1,,1,1,1,,,,,,,,,SL,
64,2021,RK1031_0,1,1,1,1,1,1,1,1,1,1,1,1,SL,
64,2022,RK1031_0,1,1,1,1,1,1,1,1,1,1,1,1,SL,
64,2023,RK1031_0,1,1,1,1,1,1,1,1,1,1,1,1,SL,
64,2024,RK1031_0,,,,,,,,,,,,,SL,
65,2021,RK1031_1,1,1,,1,1,1,1,1,1,1,1,1,SL,
65,2022,RK1031_1,,,,,,,,,,,,,SL,
65,2023,RK1031_1,,,,,,,,,,,,,SL,
65,2024,RK1031_1,,,,,,,,,,,,,SL,
66,2021,RK1031_2,,,,,,,,,,,,,SL,
66,2022,RK1031_2,,,,,,,,,,,,,SL,
66,2023,RK1031_2,,,,,,,,,,,,,SL,
66,2024,RK1031_2,1,1,1,1,,,1,,1,1,,,SL,
67,2021,RK1033_1,1,1,1,1,1,1,1,1,1,1,1,1,SL,
67,2022,RK1033_1,,,,1,1,1,1,1,,,,,SL,
67,2023,RK1033_1,,,,,,,,,,,,,SL,
67,2024,RK1033_1,,,,,,,,,,,,,SL,
68,2021,RK1033_2,,,,,,,,,,,,,SL,
68,2022,RK1033_2,,,,,,,,,,,,,SL,
68,2023,RK1033_2,,,,,,,,,,,,,SL,
68,2024,RK1033_2,1,,,,1,1,1,1,,1,1,1,SL,
69,2021,RK1033_3,,,,,,,,,,,,,SL,
69,2022,RK1033_3,1,1,,,,,1,1,1,1,1,1,SL,
69,2023,RK1033_3,,,,,,,,,,,,,SL,
69,2024,RK1033_3,,,,,,,,,,,,,SL,
70,2021,RK1036_0,1,1,1,1,,,,,1,,,,SL,
70,2022,RK1036_0,,,,,,,,,,,,,SL,
70,2023,RK1036_0,,,,,,,,,,,,,SL,
70,2024,RK1036_0,1,1,1,,,,,,,,,,SL,
71,2021,RK1036_1,,,,,,,,,,,,,SL,
71,2022,RK1036_1,1,1,1,,,1,1,1,1,,,,SL,
71,2023,RK1036_1,,,,,,,,,,,,,SL,
71,2024,RK1036_1,,,,,,,,,,,,,SL,
72,2021,RK1040_0,,,,,,,,,,,,,SL,
72,2022,RK1040_0,,,,,,,,,,,,,SL,
72,2023,RK1040_0,,,,,,,,,,,,,SL,
72,2024,RK1040_0,1,1,1,1,1,1,1,1,1,1,1,1,SL,
73,2021,RK1040_1,,,,,1,,,,,,1,,SL,
73,2022,RK1040_1,1,1,1,1,1,1,1,1,1,1,1,1,SL,
73,2023,RK1040_1,,,,,,,,,,,,,SL,
73,2024,RK1040_1,,,,,,,,,,,,,SL,
74,2021,RK1040_3,1,1,1,1,1,1,1,1,1,1,1,1,SL,
74,2022,RK1040_3,,1,,,,,,,,,,,SL,
74,2023,RK1040_3,,,,,1,,,,,,,,SL,
74,2024,RK1040_3,,,,,,,,,,,,,SL,
75,2021,RK1040_5,,,,,,,,,,,,,SL,
75,2022,RK1040_5,,,,,,,,,,,,,SL,
75,2023,RK1040_5,,,,,1,1,1,1,1,1,1,1,SL,
75,2024,RK1040_5,1,1,1,1,1,1,1,1,1,,1,1,SL,
76,2021,RK1042_0,,,,,,,,,,,,,SL,
76,2022,RK1042_0,,,,,,,,,,,,,SL,
76,2023,RK1042_0,,,,,,,,,,,,,SL,
76,2024,RK1042_0,1,1,1,1,1,1,1,1,1,1,,1,SL,
77,2021,RK1042_1,,,,,,,,,,,,,SL,
77,2022,RK1042_1,,1,1,1,,,1,1,1,,,,SL,
77,2023,RK1042_1,1,1,1,1,1,1,1,1,1,1,1,1,SL,
77,2024,RK1042_1,,,,,,,,,,,,,SL,
78,2021,RK1044_0,,,,,,,,,,,,,SL,
78,2022,RK1044_0,,,,,,,,,,,,,SL,
78,2023,RK1044_0,1,1,,,,1,,1,,,1,1,SL,
78,2024,RK1044_0,,,,,,,,,,,,,SL,
79,2021,RK1044_1,,,,,,,,,,,,,SL,
79,2022,RK1044_1,,,,,,,,,,,,,SL,
79,2023,RK1044_1,,,,,,,,,,1,,,SL,
79,2024,RK1044_1,,,,,,,,,,,,,SL,
80,2021,RK1048_0,,,,,,,,,,,,,SL,
80,2022,RK1048_0,,,,,,,,,,,,,SL,
80,2023,RK1048_0,,,,,,,,,1,,,1,SL,
80,2024,RK1048_0,,,,,,,,,,,,,SL,
81,2021,RK1049_0,1,1,1,1,1,1,1,1,,,,1,SL,
81,2022,RK1049_0,1,1,1,1,1,1,1,1,1,1,1,1,SL,
81,2023,RK1049_0,1,,1,,,,,1,,,,,SL,
81,2024,RK1049_0,,,,,1,,,,1,,,,SL,
82,2021,RK1049_1,1,1,,1,,,1,,1,,,1,SL,
82,2022,RK1049_1,1,1,1,1,1,1,1,1,1,1,1,1,SL,
82,2023,RK1049_1,,,,,,1,1,1,1,,,1,SL,
82,2024,RK1049_1,1,1,1,1,1,1,1,1,1,1,,,SL,
83,2021,RK1050_0,,,,,,,,,,,,,SL,
83,2022,RK1050_0,,,,,,,,,,,,,SL,
83,2023,RK1050_0,,,,,,,,,,,,,SL,
83,2024,RK1050_0,1,1,1,,,,,1,,,,,SL,
84,2021,RK1051_0,,,,,,,,,,,,,SL,
84,2022,RK1051_0,,,,,,,,,,,,,SL,
84,2023,RK1051_0,,1,,,,,,1,,1,1,1,SL,
84,2024,RK1051_0,,,,,1,,,,1,1,1,1,SL,
85,2021,RK1051_1,,,,,,,,,,,,,SL,
85,2022,RK1051_1,,1,1,1,1,1,1,1,1,1,1,1,SL,
85,2023,RK1051_1,,1,1,1,1,1,1,1,1,1,,,SL,
85,2024,RK1051_1,1,1,1,1,,,,,,,1,,SL,
86,2021,RK1054_0,,,,,,,,,,,,1,SL,
86,2022,RK1054_0,,1,,1,,1,,1,1,1,1,1,SL,
86,2023,RK1054_0,1,1,1,1,1,1,1,1,,1,,1,SL,
86,2024,RK1054_0,,,,,,,,,,,,,SL,
87,2021,RK1059_0,,,,,,,,,,,,,SL,
87,2022,RK1059_0,1,1,1,1,1,1,1,1,1,1,1,1,SL,
87,2023,RK1059_0,,,,,,,,,,,,,SL,
87,2024,RK1059_0,,,,,,,,,,,,,SL,
88,2021,RK1059_1,,,,,,,,,,,,,SL,
88,2022,RK1059_1,,,,,,,,,,,,,SL,
88,2023,RK1059_1,1,,,1,1,1,1,1,1,1,1,,SL,
88,2024,RK1059_1,,,,,,,,,,,,,SL,
89,2021,RK1059_2,,,,,,1,,,,,,1,SL,
89,2022,RK1059_2,,,,,,,,,,,,,SL,
89,2023,RK1059_2,,1,1,1,,,,,1,,,,SL,
89,2024,RK1059_2,,,,,,,,,,,,,SL,
90,2021,RK600_0,1,1,1,1,1,1,1,,1,,1,,SL,
90,2022,RK600_0,,,,,,,,,,,,,SL,
90,2023,RK600_0,,,,,,,,,,,,,SL,
90,2024,RK600_0,,,,,,,,,,,,,SL,
91,2021,RK600_1,,,,,,,,,,,,,SL,
91,2022,RK600_1,1,1,1,1,,1,1,1,1,1,1,1,SL,
91,2023,RK600_1,1,1,1,1,1,1,1,1,1,1,1,1,SL,
91,2024,RK600_1,1,1,1,,1,1,1,1,1,1,1,,SL,
92,2021,RK601_0,1,1,,,1,,1,1,,,1,1,SL,
92,2022,RK601_0,1,,,,1,1,,1,1,,,,SL,
92,2023,RK601_0,,1,,,,1,1,,,1,,,SL,
92,2024,RK601_0,1,1,1,1,1,1,1,1,1,1,1,1,SL,
93,2021,RK601_1,,,,,,,,,1,,,,SL,
93,2022,RK601_1,,,,,,,,,,,,,SL,
93,2023,RK601_1,,1,,,1,1,1,1,1,1,1,1,SL,
93,2024,RK601_1,,,,,,,,,,,,,SL,
94,2021,RK601_2,1,1,1,1,1,1,1,1,1,1,1,1,SL,
94,2022,RK601_2,1,1,,,,1,,1,1,1,1,1,SL,
94,2023,RK601_2,,,,1,1,1,1,1,1,1,1,1,SL,
94,2024,RK601_2,1,1,1,1,1,1,1,1,1,1,1,1,SL,
95,2021,RK601_3,,,,,,,,,,,,,SL,
95,2022,RK601_3,1,1,1,1,1,1,1,1,,1,1,1,SL,
95,2023,RK601_3,,,,,,,,,,,,,SL,
95,2024,RK601_3,,,,,,,,,,,,,SL,
96,2021,RK602_0,1,1,1,1,1,1,1,1,1,1,1,1,SL,
96,2022,RK602_0,,,,,,,,,,,,,SL,
96,2023,RK602_0,,,,,,,,,,,,,SL,
96,2024,RK602_0,,,,,,,,,,,,,SL,
97,2021,RK602_1,,,,,,,,,,,,,SL,
97,2022,RK602_1,1,,1,,,,,,,,,,SL,
97,2023,RK602_1,,1,,1,1,1,1,1,1,,,,SL,
97,2024,RK602_1,,,,,1,1,,1,,,1,,SL,
98,2021,RK602_2,,,,,1,,,1,1,,,1,SL,
98,2022,RK602_2,1,1,1,,1,1,1,1,1,1,1,1,SL,
